2_17_22 12, 4
2_2_22 8, 16
2_18_22 8, 16
2_3_22 12, 4
2_19_22 12, 4
2_4_22 8, 16
2_20_22 8, 16
2_5_22 13, 5
2_21_22 13, 5
2_6_22 9, 1
2_22_22 9, 1
2_7_22 13, 5
2_23_22 13, 5
2_8_22 9, 1
2_24_22 9, 1
2_9_22 14, 6
2_25_22 14, 6
2_10_22 10, 2
2_26_22 10, 2
2_11_22 14, 6
2_27_22 14, 6
2_12_22 10, 2
2_28_22 10, 2
2_13_22 15, 7
2_29_22 15, 7
2_14_22 11, 3
2_30_22 11, 3
2_15_22 15, 7
2_31_22 15, 7
2_16_22 11, 3
3_1_00 1, 9, 13
3_17_00 1, 9, 13
3_2_00 13, 5, 9
3_18_00 13, 5, 9
3_3_00 1, 9, 5
3_19_00 1, 9, 5
3_4_00 13, 5, 1
3_20_00 13, 5, 1
3_5_00 2, 10, 14
3_21_00 2, 10, 14
3_6_00 14, 6, 10
3_22_00 14, 6, 10
3_7_00 2, 10, 6
3_23_00 2, 10, 6
3_8_00 14, 6, 2
3_24_00 14, 6, 2
3_9_00 3, 11, 15
3_25_00 3, 11, 15
3_10_00 15, 7, 11
3_26_00 15, 7, 11
3_11_00 3, 11, 7
3_27_00 3, 11, 7
3_12_00 15, 7, 3
3_28_00 15, 7, 3
3_13_00 4,12, 16
3_29_00 4,12, 16
3_14_00 16, 8, 12
3_30_00 16, 8, 12
3_15_00 4,12, 8
3_31_00 4,12, 8
3_16_00 16, 8, 4
3_1_02 2, 10, 14
3_17_02 2, 10, 14
3_2_02 14, 6, 10
3_18_02 14, 6, 10
3_3_02 2, 10, 6
3_19_02 2, 10, 6
3_4_02 14, 6, 2
3_20_02 14, 6, 2
3_5_02 3, 11, 15
3_21_02 3, 11, 15
3_6_02 15, 7, 11
3_22_02 15, 7, 11
3_7_02 3, 11, 7
3_23_02 3, 11, 7
3_8_02 15, 7, 3
3_24_02 15, 7, 3
3_9_02 4, 12, 16
3_25_02 4, 12, 16
3_10_02 16, 8, 12
3_26_02 16, 8, 12
3_11_02 4, 12, 8
3_27_02 4, 12, 8
3_12_02 16, 8, 4
3_28_02 16, 8, 4
3_13_02 5, 13, 1
3_29_02 5, 13, 1
3_14_02 1, 9, 13
3_30_02 1, 9, 13
3_15_02 5, 13, 9
3_31_02 5, 13, 9
3_16_02 1, 9, 5
3_1_04 3, 11, 15
3_17_04 3, 11, 15
3_2_04 15, 7, 11
3_18_04 15, 7, 11
3_3_04 3, 11, 7
3_19_04 3, 11, 7
3_4_04 15, 7, 3
3_20_04 15, 7, 3
3_5_04 4, 12, 16
3_21_04 4, 12, 16
3_6_04 16, 8, 12
3_22_04 16, 8, 12
3_7_04 4, 12, 8
3_23_04 4, 12, 8
3_8_04 16, 8, 4
3_24_04 16, 8, 4
3_9_04 5, 13, 1
3_25_04 5, 13, 1
3_10_04 1, 9, 13
3_26_04 1, 9, 13
3_11_04 5, 13, 9
3_27_04 5, 13, 9
3_12_04 1, 9, 5
3_28_04 1, 9, 5
3_13_04 6, 14, 2
3_29_04 6, 14, 2
3_14_04 2, 10, 14
3_30_04 2, 10, 14
3_15_04 6, 14, 10
3_31_04 6, 14, 10
3_16_04 2, 10, 6
3_1_06 4, 12, 16
3_17_06 4, 12, 16
3_2_06 16, 8, 12
3_18_06 16, 8, 12
3_3_06 4, 12, 8
3_19_06 4, 12, 8
3_4_06 16, 8, 4
3_20_06 16, 8, 4
3_5_06 5, 13, 1
3_21_06 5, 13, 1
3_6_06 1, 9, 13
3_22_06 1, 9, 13
3_7_06 5, 13, 9
3_23_06 5, 13, 9
3_8_06 1, 9, 5
3_24_06 1, 9, 5
3_9_06 6, 14, 2
3_25_06 6, 14, 2
3_10_06 2, 10, 14
3_26_06 2, 10, 14
3_11_06 6, 14, 10
3_27_06 6, 14, 10
3_12_06 2, 10, 6
3_28_06 2, 10, 6
3_13_06 7, 15, 3
3_29_06 7, 15, 3
3_14_06 3, 11, 15
3_30_06 3, 11, 15
3_15_06 7, 15, 11
3_31_06 7, 15, 11
3_16_06 3, 11, 7
3_1_08 5, 13, 1
3_17_08 5, 13, 1
3_2_08 1, 9, 13
3_18_08 1, 9, 13
3_3_08 5, 13, 9
3_19_08 5, 13, 9
3_4_08 1, 9, 5
3_20_08 1, 9, 5
3_5_08 6, 14, 2
3_21_08 6, 14, 2
3_6_08 2, 10, 14
3_22_08 2, 10, 14
3_7_08 6, 14, 10
3_23_08 6, 14, 10
3_8_08 2, 10, 6
3_24_08 2, 10, 6
3_9_08 7, 15, 3
3_25_08 7, 15, 3
3_10_08 3, 11, 15
3_26_08 3, 11, 15
3_11_08 7, 15, 11
3_27_08 7, 15, 11
3_12_08 3, 11, 7
3_28_08 3, 11, 7
3_13_08 8, 16, 4
3_29_08 8, 16, 4
3_14_08 4, 12, 16
3_30_08 4, 12, 16
3_15_08 8, 16, 12
3_31_08 8, 16, 12
3_16_08 4, 12, 8
3_1_10 6, 14, 2
3_17_10 6, 14, 2
3_2_10 2, 10, 14
3_18_10 2, 10, 14
3_3_10 6, 14, 10
3_19_10 6, 14, 10
3_4_10 2, 10, 6
3_20_10 2, 10, 6
3_5_10 7, 15, 3
